"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 24, 2022 12:19:17 PM","25##","RIVARD","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 24, 2022 01:28:00 PM"," ","TECUMSEH RD W & HURON CHURCH RD","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 24, 2022 02:15:35 PM"," ","WALKER RD & OTTAWA ST","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 24, 2022 03:20:49 PM"," ","CHRYSLER CENTRE & GRAND MARAIS RD E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 31, 2022 01:42:55 PM","14##","DROUILLARD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 02, 2022 02:33:13 PM","17##","WINDERMERE","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 03, 2022 11:12:50 AM"," ","HOWARD AVE & MCDOUGALL ST","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 04, 2022 11:55:18 AM"," ","SANDWICH ST & OJIBWAY PKY","WARD 1"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 03, 2022 11:48:37 AM"," ","BANWELL RD & EC ROW AVE E","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 02, 2022 02:09:14 PM"," ","BANWELL RD & EC ROW AVE E","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 19, 2022 08:51:55 AM","6##","GRAND MARAIS","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 20, 2022 01:25:17 PM","9##","BUCKINGHAM","WARD 6"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 28, 2022 08:17:36 AM","39##","SANDWICH","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","NOV 28, 2022 09:08:53 AM"," ","RIVERSIDE DR E & ISABELLE PL","WARD 6"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 28, 2022 10:24:25 AM"," ","SANDWICH ST & DETROIT ST","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","NOV 28, 2022 10:38:19 AM"," ","RIVERSIDE DR E & GOYEAU ST","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 29, 2022 11:02:40 AM"," ","CLAIRVIEW AVE & LAUZON RD","WARD 6"," "
"Pothole","Contracts, Field Services & Maintenance","Web Intake","MAR 02, 2022 10:11:17 PM"," "," ","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 22, 2022 09:45:33 AM","28##","LANGLOIS","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 22, 2022 10:22:52 AM"," ","TECUMSEH RD E & LAUZON RD","WARD 8"," "
